L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  3        3.000    178.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    179.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    180.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  4        4.000    181.0   8.3     12.7    1.8     97860   0.0086  12.084   0.20000000 
01_07_2021  4        4.000    182.0   8.3     12.7    1.8     97860   0.0086  12.107   0.20000000 
01_07_2021  4        4.000    183.0   8.3     12.7    1.8     97860   0.0086  12.128   0.20000000 
01_07_2021  4        4.000    184.0   8.3     12.7    1.8     97860   0.0086  12.146   0.20000000 
01_07_2021  4        4.000    185.0   8.3     12.7    1.8     97860   0.0086  12.161   0.20000000 
01_07_2021  4        4.000    186.0   8.3     12.7    1.8     97860   0.0086  12.173   0.20000000 
01_07_2021  4        4.000    187.0   8.3     12.7    1.8     97860   0.0086  12.183   0.20000000 
01_07_2021  4        4.000    188.0   8.3     12.7    1.8     97860   0.0086  12.192   0.20000000 
01_07_2021  4        4.000    189.0   8.3     12.7    1.8     97860   0.0086  12.200   0.20000000 
01_07_2021  4        4.000    190.0   8.3     12.7    1.8     97860   0.0086  12.206   0.20000000 
01_07_2021  4        4.000    191.0   8.3     12.7    1.8     97860   0.0086  12.211   0.20000000 
01_07_2021  4        4.000    192.0   8.3     12.7    1.8     97860   0.0086  12.216   0.20000000 
01_07_2021  4        4.000    193.0   8.3     12.7    1.8     97860   0.0086  12.220   0.20000000 
